"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
484430672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3010262,5656884,4817002,70368303,79476784,70174208
484430675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2584258,4564051,2210849.5,40881060,35033981,45582021
484430678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12396507,16925439,11651902,160794514,179881521,168492291
484430687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4869293,3469645,2900066,42973351,62761093,47760053
484430689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938310,1373996,605642,11523189,12796004,9580660
484430692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349928,1755806.5,NA,14248726,13039144,23098579
484430693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13603099,15073871,11642226,166522739,168758380,197584782
484430695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3791470,5063261,2132473,38732521,41002113,52981194
484430714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17972730,22289388,15200890
484430731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146638,1401621,853496,12101792,11378958,11203299
484431105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6528296,7386736,4600038,62824660,54733063,58770341
484431848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4354217,3899528,3856768,53010767,54794176,43245448
484432168,NA,NA,NA,NA,682145,397620,NA,NA,NA,NA,NA,NA,372123,NA,421223,10670729,9533129,7314408
484452529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390980,NA,680097
484454430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265626584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7146390.5,NA,86654414,52680071,128913691
265626588,NA,NA,NA,NA,NA,NA,NA,NA,NA,2306440.5,2636090.5,3565492,33530912,26841945,37263849,477392126,488427657,423270986.5
265626610,NA,NA,NA,NA,NA,NA,NA,NA,NA,6063843,2317169,6340559,40178942,57697893,35829264.5,600006908,546311378.5,661086398
265626613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747752,4446832,5977792,NA,106450113,91464767,87154778
265626614,NA,NA,NA,NA,NA,NA,NA,NA,NA,3037568.5,3328776,3498473,36088058,37556008,42575160,437421144,530485636,410575785
265626628,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718490,2813949.5,2752101,38306060,46652235,31862096,420087881,600011124.5,383217999
265626642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18754457,25261224,9827061,121035395,124019026,166194405
265626643,NA,NA,NA,NA,NA,NA,NA,NA,NA,3305664,2277694,3288034,19202772,42661622,19738245,394450612,378376135,406888518
265626654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2227979,6373073,12247286
265626683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8236506,11232113,5489775,92775440,142284357,93618327
265626704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39957063.5,35327167,40490748,437520896.5,451804409,340451742
265626727,NA,NA,NA,NA,NA,NA,NA,NA,NA,946758,859644,622091,9419431,9756674,4244309,69951965,69765182,70000570
265626768,NA,NA,NA,NA,NA,NA,NA,NA,NA,230285,NA,202667,2385749.5,3053291,834341,18305555,24126549,25322069
265626769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332742,658090,87323,NA,3463677,4572096
265626771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431621,3182233,1398187,26064190,40047442,40772638
305803807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696055.5,1092257,782243,14970068.5,16534454.5,13735436
306014877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2721187.5,NA,23885899.5,26082693,17637877,236583665,223973055,249044482
306249309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160844,3410574,1060121
